Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,hhi_MST,0,3712,0,370,19,113.22,0.00
a20,hhi_MST,0.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,1.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,1.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,2.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,2.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,3.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,3.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,4.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,4.50,3840,0,370,19,113.22,0.00
a20,hhi_MST,5.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,7.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,10.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,25.00,3840,0,370,19,113.22,0.00
a20,hhi_MST,50.00,3840,0,362,19,126.75,0.00
a20,hhi_MST,75.00,3840,0,412,18,119.51,0.00
a20,hhi_MST,100.00,3840,0,412,18,119.51,0.00
a20,hhi_MST,200.00,3840,0,412,18,119.51,0.00
a280,hhi_MST,0.00,3840,0,3593,275,138.06,0.00
a280,hhi_MST,0.50,3840,0,3593,275,137.79,0.00
a280,hhi_MST,1.00,3840,0,3593,275,137.79,0.00
a280,hhi_MST,1.50,3840,0,3593,275,137.79,0.00
a280,hhi_MST,2.00,3840,0,3593,275,137.79,0.00
a280,hhi_MST,2.50,3840,0,3593,275,137.79,0.00
a280,hhi_MST,3.00,3840,0,3593,275,137.79,0.00
a280,hhi_MST,3.50,3840,0,3593,275,137.79,0.00
a280,hhi_MST,4.00,3840,0,3593,275,137.79,0.00
a280,hhi_MST,4.50,3840,0,3593,275,137.79,0.00
a280,hhi_MST,5.00,3840,0,3593,275,137.79,0.00
a280,hhi_MST,7.00,3840,0,3593,275,137.79,0.00
a280,hhi_MST,10.00,3840,0,3593,275,137.79,0.00
a280,hhi_MST,25.00,3840,0,3541,276,137.92,0.00
a280,hhi_MST,50.00,3840,0,3553,275,140.60,0.00
a280,hhi_MST,75.00,3840,0,3553,275,140.60,0.00
a280,hhi_MST,100.00,3840,0,3553,275,140.60,0.00
a280,hhi_MST,200.00,3840,0,3591,276,138.95,0.00
xql662,hhi_MST,0.00,3840,0,3347,652,129.84,0.00
xql662,hhi_MST,0.50,3840,0,3298,650,133.17,0.00
xql662,hhi_MST,1.00,3840,0,3217,651,132.69,0.00
xql662,hhi_MST,1.50,3840,1,3420,651,132.81,0.00
