Dataset,Algorithm,Lambda,MemoryKB,TimeMS,TourLength,Bends,AvgBendAngle,Accuracy%
a20,held_karp,0,3712,0,370,19,113.22,0.00
a20,held_karp,0.50,3712,0,370,19,113.22,0.00
a20,held_karp,1.00,3712,0,370,19,113.22,0.00
a20,held_karp,1.50,3712,0,370,19,113.22,0.00
a20,held_karp,2.00,3712,0,370,19,113.22,0.00
a20,held_karp,2.50,3712,0,370,19,113.22,0.00
a20,held_karp,3.00,3712,0,370,19,113.22,0.00
a20,held_karp,3.50,3712,0,370,19,113.22,0.00
a20,held_karp,4.00,3712,0,370,19,113.22,0.00
a20,held_karp,5.00,3712,0,370,19,113.22,0.00
a20,held_karp,7.00,3712,0,370,19,113.22,0.00
a20,held_karp,10.00,3712,0,370,19,113.22,0.00
a20,held_karp,25.00,3712,0,370,19,113.22,0.00
a20,held_karp,50.00,3712,0,362,19,126.75,0.00
a20,held_karp,75.00,3712,0,412,18,119.51,0.00
a20,held_karp,100.00,3712,0,412,18,119.51,0.00
a20,held_karp,200.00,3712,0,412,18,119.51,0.00
